Rectangle,Square,Triangle,Cylinder
0.560,0.76,0.244,0.943
0.822,0.76,0.252,0.943
0.628,0.75,0.299,0.932
0.557,0.73,0.308,0.91
0.516,0.73,0.323,0.86
0.736,0.726,0.326,0.839
0.561,0.717,0.327,0.825
0.646,0.717,0.332,0.817
0.510,0.713,0.338,0.804
0.900,0.704,0.365,0.804
0.610,0.7,0.405,0.795
0.650,0.695,0.412,0.79
0.625,0.691,0.43,0.786
0.665,0.69,0.435,0.779
1.045,0.689,0.454,0.779
0.437,0.68,0.456,0.777
0.538,0.677,0.46,0.777
0.762,0.672,0.467,0.776
0.560,0.672,0.471,0.776
0.596,0.67,0.48,0.77
0.583,0.665,0.484,0.768
0.640,0.661,0.484,0.767
0.666,0.661,0.485,0.767
0.769,0.66,0.486,0.765
0.532,0.66,0.491,0.762
0.457,0.654,0.491,0.762
0.648,0.65,0.495,0.761
0.616,0.65,0.497,0.761
0.768,0.649,0.497,0.753
0.440,0.648,0.499,0.753
0.574,0.647,0.506,0.75
0.851,0.644,0.518,0.75
0.700,0.644,0.523,0.749
0.660,0.64,0.53,0.748
0.620,0.64,0.548,0.746
0.540,0.638,0.549,0.742
0.726,0.637,0.549,0.74
0.665,0.635,0.555,0.74
0.678,0.632,0.555,0.736
0.580,0.632,0.559,0.736
0.053,0.63,0.56,0.734
0.061,0.625,0.564,0.734
0.056,0.624,0.566,0.732
0.075,0.624,0.566,0.73
0.644,0.623,0.567,0.73
0.486,0.623,0.568,0.729
0.658,0.623,0.569,0.729
0.540,0.623,0.57,0.727
0.533,0.62,0.57,0.726
0.481,0.62,0.572,0.726
0.652,0.619,0.58,0.726
0.635,0.619,0.58,0.725
0.539,0.618,0.586,0.724
0.487,0.618,0.586,0.723
0.636,0.618,0.589,0.722
0.637,0.616,0.594,0.722
0.530,0.616,0.595,0.722
0.480,0.615,0.595,0.721
0.650,0.614,0.598,0.721
0.640,0.614,0.598,0.72
0.580,0.613,0.599,0.719
0.730,0.613,0.599,0.717
0.540,0.612,0.6,0.716
0.610,0.612,0.6,0.716
0.550,0.612,0.603,0.716
0.620,0.612,0.603,0.714
0.664,0.612,0.604,0.714
0.750,0.611,0.605,0.712
0.650,0.611,0.606,0.712
0.540,0.611,0.606,0.712
0.699,0.61,0.609,0.712
0.537,0.61,0.61,0.712
0.473,0.61,0.611,0.711
0.620,0.61,0.612,0.711
0.643,0.61,0.614,0.711
0.541,0.606,0.617,0.711
0.588,0.605,0.619,0.71
0.794,0.605,0.62,0.71
0.628,0.604,0.62,0.71
0.557,0.603,0.62,0.709
0.498,0.6,0.62,0.709
0.676,0.6,0.621,0.709
0.640,0.6,0.622,0.709
0.553,0.6,0.623,0.708
0.701,0.599,0.624,0.707
0.682,0.596,0.624,0.705
0.540,0.596,0.626,0.704
0.713,0.596,0.626,0.702
0.580,0.595,0.626,0.7
0.640,0.594,0.628,0.7
0.490,0.594,0.63,0.7
0.590,0.593,0.63,0.7
0.767,0.593,0.632,0.7
0.581,0.591,0.632,0.699
0.634,0.591,0.632,0.697
0.553,0.59,0.633,0.695
0.646,0.59,0.633,0.695
0.512,0.59,0.633,0.694
0.542,0.589,0.634,0.693
0.622,0.588,0.634,0.693
0.569,0.587,0.635,0.692
0.710,0.586,0.637,0.691
0.567,0.583,0.637,0.69
0.486,0.582,0.638,0.69
0.654,0.58,0.639,0.69
0.554,0.578,0.639,0.686
0.628,0.576,0.64,0.686
0.647,0.575,0.64,0.685
0.708,0.572,0.641,0.683
0.493,0.569,0.641,0.682
0.683,0.567,0.644,0.682
0.673,0.565,0.645,0.681
0.787,0.564,0.648,0.681
0.928,0.564,0.649,0.681
0.494,0.563,0.65,0.68
0.771,0.56,0.65,0.679
0.734,0.56,0.65,0.679
0.676,0.559,0.65,0.677
0.563,0.559,0.652,0.675
0.509,0.557,0.653,0.672
0.609,0.557,0.654,0.67
0.536,0.554,0.654,0.669
0.540,0.554,0.657,0.662
0.650,0.554,0.658,0.662
0.630,0.554,0.658,0.661
0.670,0.553,0.66,0.66
,0.551,0.66,0.655
,0.55,0.66,0.654
,0.55,0.661,0.65
,0.55,0.661,0.648
,0.547,0.661,0.639
,0.547,0.663,0.635
,0.544,0.663,0.621
,0.544,0.663,0.621
,0.543,0.664,0.62
,0.54,0.664,0.617
,0.54,0.664,0.615
,0.54,0.666,0.614
,0.539,0.667,0.607
,0.537,0.667,0.606
,0.534,0.667,0.606
,0.533,0.668,0.604
,0.533,0.67,0.6
,0.532,0.67,0.6
,0.532,0.671,0.598
,0.53,0.672,0.592
,0.528,0.673,0.59
,0.523,0.674,0.58
,0.523,0.678,0.57
,0.523,0.678,0.569
,0.522,0.68,0.569
,0.522,0.68,0.549
,0.521,0.686,0.549
,0.521,0.687,0.545
,0.52,0.687,0.532
,0.52,0.688,0.528
,0.52,0.698,0.52
,0.519,0.698,0.46
,0.519,0.698,0.448
,0.518,0.699,0.444
,0.516,0.7,0.444
,0.514,0.7,0.438
,0.508,0.7,0.42
,0.504,0.7,0.37
,0.492,0.701,0.365
,0.492,0.701,0.365
,0.492,0.707,0.35
,0.49,0.709,
,0.482,0.709,
,0.48,0.71,
,0.47,0.71,
,0.47,0.711,
,0.469,0.711,
,0.467,0.712,
