Time (s),Position (m),Force (N),Speed (mm/min)
2.2,0,0,1.71
2.4,1.14E-05,0,8.57
2.6,5.72E-05,0,16.95
2.8,1.24E-04,6,24.1
3,2.18E-04,19,31.62
3.2,3.35E-04,35,34.58
3.4,4.48E-04,52,30.67
3.6,5.40E-04,65,28.67
3.8,6.39E-04,66,28.29
4,7.28E-04,69,27.53
4.2,8.23E-04,72,28.29
4.4,9.17E-04,77,27.81
4.6,0.00101,82,28.38
4.8,0.00111,88,30.58
5,0.00121,95,29.91
5.2,0.00131,100,30.96
5.4,0.00142,102,30.96
5.6,0.00151,101,26.96
5.8,0.0016,99,28.58
6,0.0017,98,31.91
6.2,0.00181,97,31.81
6.4,0.00191,97,34.86
6.6,0.00204,97,39.05
6.8,0.00217,97,36.77
7,0.00229,96,34.77
7.2,0.00241,95,38.96
7.4,0.00255,97,39.72
7.6,0.00267,96,37.34
7.8,0.0028,96,34.77
8,0.0029,95,31.91
8.2,0.00301,95,31.34
8.4,0.00311,95,32.86
8.6,0.00323,95,36.48
8.8,0.00336,96,39.43
9,0.00349,97,41.43
9.2,0.00363,97,41.24
9.4,0.00377,97,42.2
9.6,0.00391,97,42.39
9.8,0.00405,96,38.48
10,0.00417,96,40.2
10.2,0.00432,97,42.58
10.4,0.00445,97,44.01
10.6,0.00461,97,47.82
10.8,0.00477,97,45.34
11,0.00491,96,44.39
11.2,0.00507,96,46.29
11.4,0.00522,97,45.62
11.6,0.00537,96,44.58
11.8,0.00552,96,44.86
12,0.00567,97,43.53
12.2,0.00581,96,43.62
12.4,0.00596,97,46.86
12.6,0.00612,97,45.34
12.8,0.00626,97,39.34
13,0.00638,95,38.1
13.2,0.00652,95,41.15
13.4,0.00666,95,44.86
13.6,0.00682,96,48.39
13.8,0.00698,97,45.62
14,0.00712,96,39.62
14.2,0.00724,95,40.2
14.4,0.00739,96,39.91
14.6,0.00751,95,33.91
14.8,0.00762,94,39.53
15,0.00777,97,48.96
15.2,0.00794,98,52.29
15.4,0.00812,98,48.96
15.6,0.00827,96,47.62
15.8,0.00844,97,52.77
16,0.00862,98,53.72
16.2,0.0088,98,52.77
16.4,0.00897,98,49.63
16.6,0.00913,98,49.82
16.8,0.0093,98,50.86
17,0.00947,99,50.48
17.2,0.00964,99,51.15
17.4,0.00981,99,49.34
17.6,0.00997,99,51.82
17.8,0.01015,100,53.72
18,0.01033,100,51.44
18.2,0.0105,100,48.96
18.4,0.01065,100,47.82
18.6,0.01082,101,48.96
18.8,0.01098,102,45.91
19,0.01112,101,48.1
19.2,0.0113,103,51.34
19.4,0.01146,103,49.43
19.6,0.01163,103,52.77
19.8,0.01182,104,55.72
20,0.012,104,55.05
20.2,0.01218,105,54.86
20.4,0.01237,105,53.53
20.6,0.01254,105,54.01
20.8,0.01273,107,54.2
21,0.0129,106,53.24
21.2,0.01308,107,47.82
21.4,0.01322,105,44.58
21.6,0.01338,107,53.44
21.8,0.01358,108,57.25
22,0.01376,109,53.34
22.2,0.01393,108,44.2
22.4,0.01406,106,44.96
22.6,0.01423,108,60.67
22.8,0.01446,112,63.53
23,0.01466,111,60.58
23.2,0.01486,112,59.63
23.4,0.01505,112,60.2
23.6,0.01527,113,59.53
23.8,0.01545,113,52.01
24,0.01561,111,49.82
24.2,0.01578,112,51.24
24.4,0.01595,112,52.86
24.6,0.01613,114,54.77
24.8,0.01632,115,55.34
25,0.0165,115,52.86
25.2,0.01667,115,52.86
25.4,0.01686,116,58.1
25.6,0.01706,117,61.15
25.8,0.01726,117,60.58
26,0.01746,118,56.86
26.2,0.01764,117,61.53
26.4,0.01787,120,65.15
26.6,0.01808,119,57.53
26.8,0.01826,119,51.34
27,0.01842,119,50.39
27.2,0.01859,119,54.58
27.4,0.01878,120,57.15
27.6,0.01897,122,52.2
27.8,0.01913,120,49.91
28,0.01931,121,60.2
28.2,0.01953,124,62.2
28.4,0.01972,123,54.96
28.6,0.0199,123,51.63
28.8,0.02007,123,54.96
29,0.02027,124,61.15
29.2,0.02047,126,59.82
29.4,0.02066,126,54.96
29.6,0.02084,125,55.91
29.8,0.02104,126,62.58
30,0.02126,128,61.15
30.2,0.02144,128,54.67
30.4,0.02162,128,49.43
30.6,0.02177,126,42.29
30.8,0.0219,126,48.58
31,0.0221,128,60.29
31.2,0.02231,130,60.01
31.4,0.0225,130,55.53
31.6,0.02268,130,61.34
31.8,0.02291,133,64.39
32,0.0231,132,55.91
32.2,0.02328,132,51.15
