index,course number,course name
148,AB100,Auto Body Basic Skills 
149,AB117,Auto Painting II 
150,AB201,Panel Replacement 
151,AB205,Tech Skills/Collision Repair 
152,AB280A,CE: Auto Body Repair 
153,AB280B,CE: Auto Body Repair - Seminar 
883,ABE0782,ABE Foundations of Math 1 
1217,ABE0790,Intermediate RD & WR 
1362,ABE0790,Intermediate RD & WR 
1,AD101,Addiction 
2,AD102,Drug Use and Addiction 
3,AD104,Multicultural Counseling 
4,AD106,Nicotine Cessation 
5,AD107,Addiction Recovery Mentor 
6,AD110,Substance Abuse Prevention 
10,AD152,Group Counsel and Addiction 
7,AD153,Theories of Counseling 
11,AD154,Client Record Mgmt & Addiction 
12,AD156,Prof Ethics Issues Counseling 
8,AD160,Basic Counseling 
13,AD161,Motivational Interview/Addict 
9,AD184,Men & Addiction 
14,AD255,Multiple Diagnoses 
15,AD270A,Practicum: Addiction 
16,AD270B,Practicum: Addiction- Seminar 
17,AD278,Practicum Prep 
884,ALC20B,Math 20 Lab - 1.00 credits 
885,ALC20C,Math 20 Lab - 2.00 credits 
584,ALC50,English Skills Lab - 0 credits 
585,ALC51,English Skills Lab - 1 credit 
586,ALC52,English Skills Lab - 2 credits 
587,ALC53,English Skills Lab - 3 credits 
886,ALC60B,Math 60 Lab - 1.00 credits 
887,ALC60C,Math 60 Lab - 2.00 credits 
888,ALC65B,Math 65 Lab - 1.00 credits 
889,ALC65C,Math 65 Lab - 2.00 credits 
890,ALC95B,Math 95 Lab - 1.00 credits 
891,ALC95C,Math 95 Lab - 2.00 credits 
155,AM100,Intro to Automotive Systems 
163,AM111,Engine Repair 
165,AM121,Automatic Transmission/Transax 
159,AM131,Manual Drive Train and Axles 
171,AM132,Advanced Automatic and Manual 
162,AM141,Suspension and Steering 
168,AM142,"Adv. Susp, Steering & Brakes "
156,AM151,Brakes 
161,AM161,Electrical Systems I 
167,AM162,Electrical Systems II 
157,AM163,Advanced Electrical/Electronic 
169,AM171,Heating & Air Conditioning Sys 
158,AM181,Engine Performance I 
164,AM182,Engine Performance II 
170,AM183,Engine Performance III 
160,AM201,Auto Shop Lab I 
166,AM202,Auto Shop Lab II 
172,AM203,Auto Shop Lab III 
173,AM280A,CE: Automotive Service 
175,AMT101,Introduction to AMT 
178,AMT102,Aircraft Electricity I 
186,AMT105,Aviation CFR & Related Subject 
179,AMT106,Aircraft Applied Science 
182,AMT107,Materials & Processes 
176,AMT108,AMT Practicum/General 
183,AMT115,Aircraft Struc & Inspection 
187,AMT117,Recipr Engine Theory & Maint 
188,AMT120,Propellers & Engine Install 
180,AMT121,Turbine Engine Theory & Maint 
184,AMT203,Aircraft Electricity II 
189,AMT204,Aircraft Electricity III 
181,AMT211,Composite Structures 
177,AMT216,AMT Practicum/Airframe 
185,AMT219,Turbine Engine Overhaul 
37,APR102,LME: DC Motors 
39,APR122,AC/DC Motor Principles 
40,APR125,Elect. Circuits/Wiring Methods 
43,APR131,Refrigeration I 
44,APR132,Refrigeration II 
45,APR133,Refrigeration III 
36,APR162,Calculations for the Trades 
33,APR200,Trades Preparation 
42,APR201,Electrical Motor Controls 
38,APR202,LME: Electrical Code Level I 
41,APR225,Electrical Code - Level II 
46,ARCH101,Intro to Residential Design 
47,ARCH110,Intro to Architectural Drawing 
214,ARCH110,Intro to Architectural Drawing 
48,ARCH111,Intro to Res. Const. Docs. 
49,ARCH112,Intro to Comm. Const. Docs. 
50,ARCH121,Structural Systems 1 
51,ARCH122,Structural Systems 2 
52,ARCH124,Intro to Building Systems 
53,ARCH126,Introduction to AutoCAD 
54,ARCH127,Intro to Google SketchUp 
55,ARCH132,Residential Building Codes 
56,ARCH134,Energy Conservation Code 
57,ARCH136,Intermediate AutoCAD 
58,ARCH161,Residential Print Reading 
59,ARCH162,Commercial Print Reading 
60,ARCH200,Principles of Arch. Design 
61,ARCH202,Commercial Studio 
62,ARCH224,Active & Passive Bldg Systems 
63,ARCH237,Intro to Revit Architecture 
68,ARCH280,CE: Arch Design & Drafting 
70,ART101,Understanding Architecture 
71,ART102,Understanding the Visual Arts 
72,ART103,Understanding New Media Arts 
73,ART115,Basic Design - 2D Foundations 
74,ART116,Basic Design-Color Foundations 
75,ART117,Basic Design - 3D Foundations 
76,ART131A,Drawing I 
77,ART131B,Drawing I 
78,ART131C,Drawing I 
79,ART140A,Digital Photography I 
80,ART140B,Digital Photography I 
81,ART140C,Digital Photography I 
82,ART141,Introduction to Photography 
83,ART142A,Intro to B&W; Photo (Darkroom) 
84,ART142B,Intro to B&W; Photo (Darkroom) 
85,ART142C,Intro to B&W; Photo (Darkroom) 
86,ART143A,B&W; Photo II (Darkroom) 
87,ART143B,B&W; Photo II (Darkroom) 
88,ART143C,B&W; Photo II (Darkroom) 
89,ART181A,Painting I 
90,ART181B,Painting I 
91,ART181C,Painting I 
69,ART199V,Introduction to Screenprinting 
92,ART204,History of Western Art 
93,ART205,History of Western Art 
94,ART206,History of Western Art 
95,ART208,History of Asian Art 
96,ART210,Women in Art 
97,ART212,Mod Art Hst:Early 20th Cen Art 
98,ART213,Mod Art Hst: Art Since 1945 
99,ART214,History of Graphic Design 
100,ART215,History of American Res. Arch. 
101,ART218B,Callig I Italic 
102,ART231A,Drawing II 
103,ART231B,Drawing II 
104,ART231C,Drawing II 
105,ART237A,Life Drawing 
106,ART237B,Life Drawing 
107,ART237C,Life Drawing 
108,ART240A,Digital Photography II 
109,ART240B,Digital Photography II 
110,ART240C,Digital Photography II 
111,ART243,The Photographic Portfolio 
112,ART253A,Ceramics I 
113,ART253B,Ceramics I 
114,ART253C,Ceramics I 
115,ART256A,Ceramics II 
116,ART256B,Ceramics II 
117,ART256C,Ceramics II 
118,ART270A,Printmaking I 
119,ART270B,Printmaking I 
120,ART270C,Printmaking I 
121,ART271A,Printmaking II 
122,ART271B,Printmaking II 
123,ART271C,Printmaking II 
124,ART277A,Life Painting 
125,ART277B,Life Painting 
126,ART277C,Life Painting 
127,ART279A,Experimental Media 
128,ART279B,Experimental Media 
129,ART279C,Experimental Media 
130,ART281A,Painting II 
131,ART281B,Painting II 
132,ART281C,Painting II 
133,ART284A,Water Media I 
134,ART284B,Water Media I 
135,ART284C,Water Media I 
136,ART287A,Water Media II 
137,ART287B,Water Media II 
138,ART287C,Water Media II 
139,ART291A,Sculpture: Carving 
140,ART291B,Sculpture: Carving 
141,ART291C,Sculpture: Carving 
142,ART293A,Figure Sculpture 
143,ART293B,Figure Sculpture 
144,ART293C,Figure Sculpture 
145,ART294A,Sculpture: Metals 
146,ART294B,Sculpture: Metals 
147,ART294C,Sculpture: Metals 
18,ASL101,1st Yr Amer Sign Language I 
19,ASL102,1st Yr Amer Sign Language II 
20,ASL151,Accel American Sign Language 
21,ASL201,2nd Yr Amer Sign Language IV 
22,ASL202,2nd Yr Amer Sign Language V 
23,ASL240,Intro to the Deaf Community 
24,ATH101,Intro to Physical Anthropology 
25,ATH102,Intro Archaeology & Prehistory 
26,ATH103,Intro to Cultural Anthropology 
27,ATH207,Cult Ath: Cult Concepts 
28,ATH208,Cult Ath: Cultures of World 
29,ATH212,Introduction to Shamanism 
30,ATH231,Native Americans of the N.W. 
31,ATH232,Native North Americans 
32,ATH235,Prehistoric Mexico/Cen America 
190,AVS127,Introduction to Aviation 
235,BA101,Introduction to Business 
236,BA111,Introduction to Accounting 
237,BA131,Intro to Business Technology 
238,BA150,Intro to Entrepreneurship 
239,BA177,Payroll Accounting 
240,BA203,Intro to International Bus 
241,BA205,Business Communication 
242,BA206,Management Fundamentals 
243,BA207,Introduction to E-Commerce 
244,BA211,Principles of Accounting I 
245,BA212,Principles of Accounting II 
246,BA213,Managerial Accounting 
247,BA218,Personal Finance 
248,BA222,Financial Management 
249,BA223,Principles of Marketing 
250,BA224,Human Resource Management 
251,BA226,Business Law I 
252,BA228,Comp Accounting Applications 
253,BA235,Social Media Marketing 
254,BA236,Product Mgmt and Branding 
255,BA238,Sales 
256,BA239,Advertising 
257,BA240,Nonprofit Fin. Mngmt. & Acctg. 
258,BA242,Introduction to Investments 
259,BA249,Prin/Retailing & E-tailing 
260,BA250,Small Business Management 
261,BA255,Project Management -Bus Enviro 
262,BA256,Income Tax 
263,BA277,Bus. Practices and Cont Issues 
264,BA278,Eco-Innovate Soc Entrepreneur 
267,BA280A,CE: Business Experience 
268,BA280B,CE: Bus Experience - Sem 
265,BA281,Accounting Skills Review 
266,BA285,Human Relations-Organizations 
215,BCT102,Residential Printreading 
216,BCT105,CAD for Constructors I 
217,BCT106,Hand Tool/Power Tool Use & Saf 
218,BCT127,Residential Concrete 
224,BCT134,Construction Scheduling 
219,BCT135,Residential Building Codes 
220,BCT199J,Bluebeam for Construction 
225,BCT202C,Bus. Principles for Constructi 
